TweetAt,Sentiment
2020-03-11,Extremely Positive
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Extremely Positive
2020-03-11,Extremely Negative
2020-03-11,Negative
2020-03-11,Extremely Positive
2020-03-11,Extremely Negative
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Positive
2020-03-11,Positive
2020-03-11,Negative
2020-03-11,Negative
2020-03-11,Negative
2020-03-11,Neutral
2020-03-11,Positive
2020-03-11,Neutral
2020-03-11,Extremely Negative
2020-03-11,Extremely Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Positive
2020-03-12,Neutral
2020-03-12,Extremely Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Negative
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-12,Neutral
2020-03-12,Neutral
2020-03-12,Negative
2020-03-12,Extremely Positive
2020-03-12,Extremely Negative
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Extremely Negative
2020-03-12,Extremely Positive
2020-03-12,Neutral
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Positive
2020-03-12,Negative
2020-03-12,Extremely Negative
2020-03-12,Negative
2020-03-13,Extremely Negative
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Extremely Positive
2020-03-13,Neutral
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Extremely Negative
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Negative
2020-03-13,Extremely Positive
2020-03-13,Negative
2020-03-13,Neutral
2020-03-13,Extremely Positive
2020-03-13,Negative
2020-03-13,Neutral
2020-03-13,Positive
2020-03-13,Negative
2020-03-13,Extremely Negative
2020-03-13,Extremely Negative
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Extremely Negative
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Extremely Negative
2020-03-13,Neutral
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Extremely Negative
2020-03-13,Extremely Negative
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Extremely Negative
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Negative
2020-03-13,Neutral
2020-03-13,Extremely Positive
2020-03-13,Positive
2020-03-13,Extremely Negative
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Extremely Positive
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Neutral
2020-03-13,Extremely Negative
2020-03-13,Extremely Negative
2020-03-13,Extremely Positive
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Negative
2020-03-13,Extremely Negative
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Extremely Positive
2020-03-13,Negative
2020-03-13,Extremely Positive
2020-03-13,Neutral
2020-03-13,Negative
2020-03-13,Extremely Negative
2020-03-13,Neutral
2020-03-13,Neutral
2020-03-13,Positive
2020-03-13,Extremely Positive
2020-03-13,Extremely Positive
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Extremely Positive
2020-03-13,Extremely Positive
2020-03-13,Positive
2020-03-13,Negative
2020-03-13,Extremely Negative
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Positive
2020-03-13,Extremely Positive
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Extremely Positive
2020-03-13,Neutral
2020-03-13,Extremely Negative
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Extremely Negative
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Negative
2020-03-13,Extremely Positive
2020-03-13,Neutral
2020-03-13,Extremely Positive
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Negative
2020-03-13,Neutral
2020-03-13,Negative
2020-03-13,Neutral
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Extremely Positive
2020-03-13,Extremely Positive
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Extremely Negative
2020-03-13,Positive
2020-03-13,Negative
2020-03-13,Extremely Negative
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Extremely Negative
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Extremely Negative
2020-03-13,Neutral
2020-03-13,Extremely Negative
2020-03-13,Negative
2020-03-13,Neutral
2020-03-13,Neutral
2020-03-13,Positive
2020-03-13,Extremely Negative
2020-03-13,Neutral
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Extremely Negative
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Extremely Positive
2020-03-13,Extremely Positive
2020-03-13,Extremely Negative
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Positive
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Extremely Positive
2020-03-13,Positive
2020-03-13,Neutral
2020-03-13,Negative
2020-03-13,Negative
2020-03-13,Positive
2020-03-13,Extremely Positive
