Date,TargetGroup,Vaccine,Doses,Count
2022-02-14,Age<18,UNK,FirstDose,2136
2022-02-14,Age<18,UNK,FirstDose,63
2022-02-14,ALL,UNK,FirstDose,7052
2022-02-14,ALL,UNK,FirstDose,2695
2022-02-14,ALL,UNK,FirstDose,1140
2022-02-14,ALL,UNK,FirstDose,350
2022-02-14,ALL,UNK,FirstDose,369
2023-06-19,Age60_69,UNK,FirstDose,0
2023-06-19,Age50_59,UNK,FirstDose,2
2023-06-19,Age50_59,UNK,FirstDose,1
2022-02-14,ALL,AZ,FirstDose,0
2022-02-07,AgeUNK,UNK,FirstDose,0
2022-02-07,Age80+,UNK,FirstDose,152
2022-02-07,Age80+,UNK,FirstDose,45
2022-02-07,Age80+,UNK,FirstDose,192
2022-02-07,Age80+,UNK,FirstDose,4
2022-02-07,Age70_79,UNK,FirstDose,130
2022-02-07,Age70_79,UNK,FirstDose,196
2022-02-07,Age70_79,UNK,FirstDose,60
2022-02-07,Age70_79,UNK,FirstDose,3
2022-02-07,Age70_79,UNK,FirstDose,28
2023-06-19,Age50_59,UNK,FirstDose,1
2023-06-19,Age50_59,UNK,FirstDose,0
2023-06-19,Age50_59,UNK,FirstDose,0
2022-02-07,Age60_69,UNK,FirstDose,109
2022-02-07,Age60_69,UNK,FirstDose,64
2022-02-07,Age50_59,UNK,FirstDose,487
2022-02-07,Age50_59,UNK,FirstDose,340
2022-02-07,Age50_59,UNK,FirstDose,237
2022-02-07,Age50_59,UNK,FirstDose,46
2022-02-07,Age25_49,UNK,FirstDose,4354
2022-02-07,Age25_49,UNK,FirstDose,1972
2023-06-19,Age50_59,UNK,FirstDose,0
2023-06-19,Age25_49,UNK,FirstDose,0
2023-06-19,Age<18,UNK,FirstDose,2
2023-06-19,Age<18,UNK,FirstDose,0
2023-06-19,ALL,UNK,FirstDose,24
2023-06-19,ALL,COM,FirstDose,75
2022-02-07,Age18_24,UNK,FirstDose,1317
2022-11-07,Age70_79,UNK,FirstDose,0
2022-11-07,Age60_69,UNK,FirstDose,8
2022-11-07,Age60_69,UNK,FirstDose,4
2022-11-07,Age60_69,UNK,FirstDose,9
2022-11-07,Age60_69,UNK,FirstDose,0
2022-11-07,Age60_69,UNK,FirstDose,0
2021-11-15,Age70_79,UNK,FirstDose,245
2021-11-15,Age70_79,UNK,FirstDose,465
2022-03-07,ALL,NVXD,FirstDose,2178
2022-03-07,ALL,MOD,FirstDose,895
2022-02-28,Age60_69,UNK,FirstDose,40
2022-02-28,Age60_69,UNK,FirstDose,25
2022-02-28,Age60_69,UNK,FirstDose,180
2021-11-15,Age60_69,UNK,FirstDose,1767
2021-11-15,Age60_69,UNK,FirstDose,92
2021-11-15,Age50_59,UNK,FirstDose,1226
2021-11-15,Age50_59,UNK,FirstDose,1308
2021-11-15,Age50_59,UNK,FirstDose,584
2021-11-15,Age50_59,UNK,FirstDose,104
2021-11-15,Age50_59,UNK,FirstDose,229
2021-11-15,Age25_49,UNK,FirstDose,2790
2021-11-15,Age25_49,UNK,FirstDose,6397
2021-11-15,Age25_49,UNK,FirstDose,2320
2022-02-28,Age60_69,UNK,FirstDose,6
2022-02-28,Age18_24,UNK,FirstDose,264
2022-02-28,Age18_24,UNK,FirstDose,153
2022-02-28,Age18_24,UNK,FirstDose,512
2021-11-15,Age18_24,UNK,FirstDose,3096
2021-11-15,Age18_24,UNK,FirstDose,201
2021-11-15,Age<18,UNK,FirstDose,1284
2021-11-15,Age<18,UNK,FirstDose,1007
2021-11-15,Age<18,UNK,FirstDose,509
2021-11-15,Age<18,UNK,FirstDose,123
2021-11-15,ALL,UNK,FirstDose,942
2021-11-15,ALL,UNK,FirstDose,12841
2021-11-15,ALL,UNK,FirstDose,5237
2021-11-15,ALL,UNK,FirstDose,4919
2022-02-28,Age18_24,UNK,FirstDose,32
2022-02-28,Age<18,UNK,FirstDose,445
2022-02-28,Age<18,UNK,FirstDose,650
2022-02-28,Age<18,UNK,FirstDose,279
2021-11-15,ALL,MOD,FirstDose,11745
2021-11-08,Age80+,UNK,FirstDose,119
2021-11-08,Age80+,UNK,FirstDose,349
2021-11-08,Age80+,UNK,FirstDose,142
2021-11-08,Age80+,UNK,FirstDose,8
2021-11-08,Age80+,UNK,FirstDose,55
2021-11-08,Age70_79,UNK,FirstDose,28
2021-11-08,Age70_79,UNK,FirstDose,414
2021-11-08,Age70_79,UNK,FirstDose,200
2021-11-08,Age70_79,UNK,FirstDose,196
2022-02-28,Age<18,UNK,FirstDose,65
2022-02-28,Age<18,UNK,FirstDose,11
2022-02-28,ALL,UNK,FirstDose,63
2022-02-28,ALL,UNK,FirstDose,1414
2021-11-08,Age60_69,UNK,FirstDose,330
2021-11-08,Age50_59,UNK,FirstDose,917
2021-11-08,Age50_59,UNK,FirstDose,1394
2021-11-08,Age50_59,UNK,FirstDose,434
2022-11-14,Age25_49,UNK,FirstDose,11
2022-11-14,Age25_49,UNK,FirstDose,27
2022-11-14,Age25_49,UNK,FirstDose,43
2023-04-17,Age70_79,UNK,FirstDose,0
2023-04-17,Age70_79,UNK,FirstDose,0
2023-04-17,Age70_79,UNK,FirstDose,1
2022-11-14,Age50_59,UNK,FirstDose,2
2022-11-14,Age50_59,UNK,FirstDose,12
2022-11-14,Age60_69,UNK,FirstDose,3
2022-11-14,Age60_69,UNK,FirstDose,3
2022-11-14,Age60_69,UNK,FirstDose,12
2022-11-14,Age60_69,UNK,FirstDose,13
2022-11-14,Age60_69,UNK,FirstDose,20
2022-11-14,Age70_79,UNK,FirstDose,1
2022-11-14,Age70_79,UNK,FirstDose,6
2022-07-25,Age25_49,UNK,FirstDose,48
2022-07-25,Age25_49,UNK,FirstDose,140
2022-07-25,Age25_49,UNK,FirstDose,12
2022-07-25,Age50_59,UNK,FirstDose,4
2022-07-25,Age50_59,UNK,FirstDose,13
2022-02-07,Age18_24,UNK,FirstDose,2046
2022-02-07,Age60_69,UNK,FirstDose,21
2022-02-07,Age60_69,UNK,FirstDose,104
2022-07-25,Age60_69,UNK,FirstDose,6
2022-07-25,Age60_69,UNK,FirstDose,61
2022-07-25,Age60_69,UNK,FirstDose,16
2021-05-31,Age25_49,UNK,FirstDose,43993
2021-05-31,Age25_49,UNK,FirstDose,174200
2021-05-31,Age25_49,UNK,FirstDose,45717
2021-05-31,Age25_49,UNK,FirstDose,3034
2021-05-31,Age25_49,UNK,FirstDose,682
2021-02-08,Age25_49,UNK,FirstDose,4367
2021-02-08,Age25_49,UNK,FirstDose,2933
2021-02-08,Age25_49,UNK,FirstDose,510
2021-05-31,Age18_24,UNK,FirstDose,2382
2021-05-31,Age18_24,UNK,FirstDose,287
2021-05-31,Age<18,UNK,FirstDose,877
2021-05-31,Age<18,UNK,FirstDose,975
2021-05-31,Age<18,UNK,FirstDose,1210
2021-05-31,Age<18,UNK,FirstDose,176
2021-05-31,ALL,UNK,FirstDose,74790
2021-05-31,ALL,UNK,FirstDose,306635
2021-05-31,ALL,UNK,FirstDose,140879
2021-05-31,ALL,UNK,FirstDose,215023
2021-02-08,Age18_24,UNK,FirstDose,396
2021-12-20,Age50_59,UNK,FirstDose,58
2021-12-20,Age50_59,UNK,FirstDose,2608
2021-12-20,Age50_59,UNK,FirstDose,571
2022-04-11,Age18_24,UNK,FirstDose,107
2022-04-11,Age18_24,UNK,FirstDose,210
2022-04-11,Age50_59,UNK,FirstDose,43
2022-04-11,Age50_59,UNK,FirstDose,21
2021-12-20,Age60_69,UNK,FirstDose,651
2021-03-01,Age<18,UNK,FirstDose,16
2021-03-01,Age<18,UNK,FirstDose,22
2021-03-01,Age<18,UNK,FirstDose,4
2021-03-01,Age18_24,UNK,FirstDose,12
2021-03-01,Age18_24,UNK,FirstDose,7
2021-03-01,Age18_24,UNK,FirstDose,501
2021-03-01,Age18_24,UNK,FirstDose,1799
2021-03-01,Age18_24,UNK,FirstDose,638
2021-03-01,Age25_49,UNK,FirstDose,194
2021-05-24,Age80+,UNK,FirstDose,112
2021-11-15,Age70_79,UNK,FirstDose,270
2021-11-15,Age70_79,UNK,FirstDose,440
2021-11-15,Age70_79,UNK,FirstDose,481
2021-11-15,Age80+,UNK,FirstDose,18
2021-11-15,Age80+,UNK,FirstDose,715
2021-11-15,Age80+,UNK,FirstDose,212
2021-11-15,Age80+,UNK,FirstDose,204
2021-11-15,Age80+,UNK,FirstDose,467
2022-02-21,Age<18,UNK,FirstDose,469
2022-02-21,Age<18,UNK,FirstDose,951
2022-02-21,Age<18,UNK,FirstDose,583
2021-12-20,Age60_69,UNK,FirstDose,363
2021-12-20,Age60_69,UNK,FirstDose,1129
2021-12-20,Age70_79,UNK,FirstDose,12
2022-02-21,ALL,UNK,FirstDose,1012
2022-02-21,ALL,UNK,FirstDose,2189
2022-02-21,ALL,UNK,FirstDose,867
2021-12-20,Age70_79,UNK,FirstDose,226
2022-06-20,Age50_59,UNK,FirstDose,25
2022-06-20,Age50_59,UNK,FirstDose,21
2022-06-20,Age50_59,UNK,FirstDose,30
2022-06-20,Age50_59,UNK,FirstDose,1
2022-06-20,Age60_69,UNK,FirstDose,7
2022-06-20,Age60_69,UNK,FirstDose,4
2022-01-03,Age<18,UNK,FirstDose,256
2022-01-03,Age25_49,UNK,FirstDose,662
2022-01-03,Age25_49,UNK,FirstDose,552
2022-01-03,Age25_49,UNK,FirstDose,3881
2022-01-03,Age25_49,UNK,FirstDose,8342
2022-01-03,Age25_49,UNK,FirstDose,8421
2022-01-03,Age60_69,UNK,FirstDose,1758
2022-01-03,Age70_79,UNK,FirstDose,19
2022-01-03,Age70_79,UNK,FirstDose,354
2022-01-03,Age70_79,UNK,FirstDose,638
2022-01-10,Age60_69,UNK,FirstDose,14918
2022-01-10,AgeUNK,UNK,FirstDose,0
2022-01-10,ALL,UNK,FirstDose,965
2022-01-10,ALL,UNK,FirstDose,20299
2022-01-10,Age18_24,UNK,FirstDose,4363
2022-01-10,Age25_49,UNK,FirstDose,345
2022-01-10,Age25_49,UNK,FirstDose,12489
2022-01-10,Age25_49,UNK,FirstDose,3444
2022-01-10,Age25_49,UNK,FirstDose,8979
2022-01-10,Age60_69,UNK,FirstDose,954
2022-06-27,ALL,UNK,FirstDose,208
2022-06-27,ALL,UNK,FirstDose,621
2022-06-27,ALL,UNK,FirstDose,26
2022-06-27,Age<18,UNK,FirstDose,67
2022-06-27,Age<18,UNK,FirstDose,195
2022-06-27,Age<18,UNK,FirstDose,98
2022-06-27,Age<18,UNK,FirstDose,351
2022-06-27,Age<18,UNK,FirstDose,396
2022-01-10,Age70_79,UNK,FirstDose,26
2022-01-10,Age70_79,UNK,FirstDose,1063
2022-01-10,Age70_79,UNK,FirstDose,346
2022-01-10,Age70_79,UNK,FirstDose,317
2022-01-10,Age70_79,UNK,FirstDose,921
2022-06-27,Age25_49,UNK,FirstDose,107
2022-06-27,Age25_49,UNK,FirstDose,21
2022-06-27,Age25_49,UNK,FirstDose,190
2022-06-27,Age25_49,UNK,FirstDose,7
2022-06-27,Age50_59,UNK,FirstDose,7
2022-06-27,Age50_59,UNK,FirstDose,10
2022-06-27,Age50_59,UNK,FirstDose,13
2022-06-27,Age50_59,UNK,FirstDose,59
2022-06-27,Age50_59,UNK,FirstDose,182
2022-01-17,Age25_49,UNK,FirstDose,59697
2022-01-17,Age70_79,UNK,FirstDose,5096
2022-01-17,ALL,UNK,FirstDose,25763
2021-12-20,Age70_79,UNK,FirstDose,373
2021-12-20,Age70_79,UNK,FirstDose,493
2021-12-20,Age70_79,UNK,FirstDose,695
2021-12-20,Age80+,UNK,FirstDose,587
2021-12-20,Age80+,UNK,FirstDose,180
2022-04-11,Age50_59,UNK,FirstDose,70
2022-04-11,Age50_59,UNK,FirstDose,6
2022-04-11,Age60_69,UNK,FirstDose,9
2022-04-11,Age60_69,UNK,FirstDose,3
2021-12-27,ALL,MODBA.4-5,FirstDose,0
2021-12-27,Age18_24,UNK,FirstDose,18521
2021-12-27,Age60_69,UNK,FirstDose,8856
2021-12-27,AgeUNK,UNK,FirstDose,0
2021-12-27,ALL,UNK,FirstDose,12687
2021-12-27,ALL,UNK,FirstDose,12801
2021-12-27,ALL,UNK,FirstDose,13610
2021-12-27,Age<18,UNK,FirstDose,108
2021-12-27,Age<18,UNK,FirstDose,762
2021-12-27,Age<18,UNK,FirstDose,2829
2022-04-11,Age60_69,UNK,FirstDose,16
2022-04-11,Age60_69,UNK,FirstDose,73
2022-04-11,Age60_69,UNK,FirstDose,105
2021-12-27,Age18_24,UNK,FirstDose,145
2021-12-27,Age18_24,UNK,FirstDose,559
2021-12-27,Age18_24,UNK,FirstDose,1602
2021-12-27,Age18_24,UNK,FirstDose,2754
2021-12-27,Age25_49,UNK,FirstDose,217
2021-12-27,Age25_49,UNK,FirstDose,9964
2021-12-27,Age25_49,UNK,FirstDose,4297
2021-12-27,Age25_49,UNK,FirstDose,5497
2021-12-27,Age50_59,UNK,FirstDose,191
2021-12-27,Age50_59,UNK,FirstDose,325
2021-12-27,Age50_59,UNK,FirstDose,411
2022-04-11,Age70_79,UNK,FirstDose,1
2022-04-11,Age70_79,UNK,FirstDose,100
2022-04-11,Age70_79,UNK,FirstDose,30
2021-12-27,Age60_69,UNK,FirstDose,30
2021-12-27,Age60_69,UNK,FirstDose,299
2021-12-27,Age60_69,UNK,FirstDose,593
2021-12-27,Age60_69,UNK,FirstDose,909
2021-12-27,Age70_79,UNK,FirstDose,18
2021-02-08,Age18_24,UNK,FirstDose,339
2021-02-08,Age18_24,UNK,FirstDose,486
2021-02-08,Age18_24,UNK,FirstDose,961
2021-05-31,ALL,SGSK,FirstDose,0
2021-05-24,AgeUNK,UNK,FirstDose,0
2021-05-24,Age80+,UNK,FirstDose,3360
2021-05-24,Age80+,UNK,FirstDose,4328
2021-05-24,Age80+,UNK,FirstDose,3130
2021-05-24,Age80+,UNK,FirstDose,1776
2021-05-24,Age80+,UNK,FirstDose,18
2021-05-24,Age70_79,UNK,FirstDose,9865
2021-05-24,Age70_79,UNK,FirstDose,4155
2021-05-24,Age70_79,UNK,FirstDose,6290
2021-02-08,Age18_24,UNK,FirstDose,2
2021-02-08,Age<18,UNK,FirstDose,15
2021-02-08,Age<18,UNK,FirstDose,9
2021-02-08,Age<18,UNK,FirstDose,7
2021-05-24,Age60_69,UNK,FirstDose,12724
2021-05-24,Age60_69,UNK,FirstDose,27235
2021-05-24,Age60_69,UNK,FirstDose,233
2021-05-24,Age50_59,UNK,FirstDose,51973
2021-05-24,Age50_59,UNK,FirstDose,40112
2021-05-24,Age50_59,UNK,FirstDose,17984
2021-05-24,Age50_59,UNK,FirstDose,707
2021-05-24,Age50_59,UNK,FirstDose,281
2021-05-24,Age25_49,UNK,FirstDose,116233
2021-05-24,Age25_49,UNK,FirstDose,53089
2021-02-08,Age<18,UNK,FirstDose,1
2021-02-08,Age<18,UNK,FirstDose,0
2021-02-08,ALL,UNK,FirstDose,18669
2021-02-08,ALL,UNK,FirstDose,18746
2021-05-24,Age18_24,UNK,FirstDose,68855
2021-05-24,Age18_24,UNK,FirstDose,364
2022-06-27,Age18_24,UNK,FirstDose,27
2023-01-09,Age80+,UNK,FirstDose,0
2023-01-09,Age80+,UNK,FirstDose,0
2023-01-09,Age80+,UNK,FirstDose,4
2023-01-09,Age80+,UNK,FirstDose,3
2022-06-27,Age25_49,UNK,FirstDose,288
2022-06-27,Age50_59,UNK,FirstDose,12
2022-06-27,Age50_59,UNK,FirstDose,27
2022-06-27,Age50_59,UNK,FirstDose,16
2022-06-27,Age50_59,UNK,FirstDose,36
2022-06-27,Age50_59,UNK,FirstDose,3
2022-06-27,Age60_69,UNK,FirstDose,4
2022-06-27,Age60_69,UNK,FirstDose,4
2022-06-27,Age60_69,UNK,FirstDose,14
2022-06-27,Age60_69,UNK,FirstDose,31
2023-01-09,Age80+,UNK,FirstDose,13
2023-01-16,ALL,UNK,FirstDose,925
2023-01-16,Age<18,UNK,FirstDose,8
2023-01-16,Age<18,UNK,FirstDose,20
2023-01-16,Age25_49,UNK,FirstDose,426
2023-01-16,Age50_59,UNK,FirstDose,1
2023-01-16,Age50_59,UNK,FirstDose,22
2023-01-16,Age70_79,UNK,FirstDose,59
2023-01-16,Age80+,UNK,FirstDose,0
2023-01-16,Age80+,UNK,FirstDose,29
2023-01-23,ALL,UNK,FirstDose,137
2023-01-23,Age<18,UNK,FirstDose,7
2023-01-23,Age<18,UNK,FirstDose,69
2023-01-23,Age25_49,UNK,FirstDose,94
2023-01-23,Age50_59,UNK,FirstDose,9
2023-01-23,Age50_59,UNK,FirstDose,3
2023-01-23,Age50_59,UNK,FirstDose,2
2023-01-23,Age70_79,UNK,FirstDose,7
2023-01-23,Age80+,UNK,FirstDose,0
2023-01-23,Age80+,UNK,FirstDose,0
2022-12-05,Age60_69,UNK,FirstDose,455
2023-05-22,Age80+,UNK,FirstDose,2
2023-05-22,Age80+,UNK,FirstDose,7
2023-05-29,ALL,MOD,FirstDose,0
2023-05-29,ALL,NVXD,FirstDose,7
2023-05-29,ALL,SGSK,FirstDose,2
2023-05-29,Age<18,UNK,FirstDose,37
2023-05-29,Age50_59,UNK,FirstDose,14
2023-05-29,ALL,UNK,FirstDose,5
2023-05-29,ALL,UNK,FirstDose,8
2023-05-29,ALL,UNK,FirstDose,16
2021-01-04,Age<18,UNK,FirstDose,3
2021-01-04,Age<18,UNK,FirstDose,7
2021-01-04,Age<18,UNK,FirstDose,2
2021-07-05,Age18_24,UNK,FirstDose,10009
2021-07-05,Age18_24,UNK,FirstDose,22369
2021-07-05,Age18_24,UNK,FirstDose,8539
2021-07-05,Age25_49,UNK,FirstDose,1036
2021-07-05,Age25_49,UNK,FirstDose,117335
2021-07-05,Age25_49,UNK,FirstDose,44663
2021-07-05,Age25_49,UNK,FirstDose,33921
2021-07-05,Age50_59,UNK,FirstDose,474
2021-07-05,Age50_59,UNK,FirstDose,2805
2021-07-05,Age50_59,UNK,FirstDose,5897
2021-01-04,Age18_24,UNK,FirstDose,7
2021-01-04,Age18_24,UNK,FirstDose,5
2021-01-04,Age18_24,UNK,FirstDose,23
2021-01-04,Age18_24,UNK,FirstDose,97
2021-07-05,Age60_69,UNK,FirstDose,4142
2021-07-05,Age60_69,UNK,FirstDose,9450
2021-07-05,Age60_69,UNK,FirstDose,2285
2021-07-05,Age70_79,UNK,FirstDose,53
2021-07-05,Age70_79,UNK,FirstDose,5674
2021-07-05,Age70_79,UNK,FirstDose,1956
2021-07-05,Age70_79,UNK,FirstDose,1875
2021-07-05,Age80+,UNK,FirstDose,102
2021-07-05,Age80+,UNK,FirstDose,243
2021-07-05,Age80+,UNK,FirstDose,829
2021-01-04,Age25_49,UNK,FirstDose,2
2021-01-04,Age25_49,UNK,FirstDose,56
2021-01-04,Age25_49,UNK,FirstDose,32
2021-01-04,Age25_49,UNK,FirstDose,57
2021-07-12,ALL,MODBA.1,FirstDose,0
2021-07-12,ALL,UNK,FirstDose,0
2021-07-12,Age25_49,UNK,FirstDose,810139
2021-07-12,ALL,UNK,FirstDose,3316
2021-07-12,ALL,UNK,FirstDose,351327
2021-07-12,ALL,UNK,FirstDose,81591
2021-07-12,ALL,UNK,FirstDose,88250
2021-07-12,ALL,UNK,FirstDose,145842
2021-07-12,Age<18,UNK,FirstDose,3597
2021-07-12,Age<18,UNK,FirstDose,8492
2021-01-04,Age50_59,UNK,FirstDose,0
2021-01-04,Age50_59,UNK,FirstDose,1
2021-01-04,Age50_59,UNK,FirstDose,2
2021-01-04,Age50_59,UNK,FirstDose,6
2021-07-12,Age18_24,UNK,FirstDose,11960
2021-07-12,Age18_24,UNK,FirstDose,21406
2021-07-12,Age18_24,UNK,FirstDose,19012
2021-07-12,Age18_24,UNK,FirstDose,18459
2021-07-12,Age25_49,UNK,FirstDose,1459
2021-07-12,Age25_49,UNK,FirstDose,36411
2021-07-12,Age25_49,UNK,FirstDose,39795
2021-07-12,Age25_49,UNK,FirstDose,67923
2021-07-12,Age25_49,UNK,FirstDose,4755
2021-07-12,Age50_59,UNK,FirstDose,1241
2021-01-04,Age50_59,UNK,FirstDose,2
2021-01-04,Age60_69,UNK,FirstDose,0
2021-01-04,Age60_69,UNK,FirstDose,0
2021-01-04,Age60_69,UNK,FirstDose,6
2021-01-04,Age60_69,UNK,FirstDose,17
2021-01-04,Age60_69,UNK,FirstDose,404
2021-07-12,Age60_69,UNK,FirstDose,8574
2021-07-12,Age60_69,UNK,FirstDose,8927
2021-07-12,Age70_79,UNK,FirstDose,375
2021-07-12,Age70_79,UNK,FirstDose,922
2021-07-12,Age70_79,UNK,FirstDose,1539
2021-07-12,Age70_79,UNK,FirstDose,3948
2021-07-12,Age70_79,UNK,FirstDose,294
2021-07-12,Age80+,UNK,FirstDose,263
2021-01-04,Age70_79,UNK,FirstDose,0
2021-01-04,Age70_79,UNK,FirstDose,175
2021-01-04,Age70_79,UNK,FirstDose,6
2021-01-04,Age70_79,UNK,FirstDose,25
2021-07-19,ALL,MOD,FirstDose,293630
2021-07-19,ALL,NVXD,FirstDose,0
2021-07-19,ALL,SGSK,FirstDose,0
2021-07-19,Age70_79,UNK,FirstDose,55047
2021-07-19,ALL,UNK,FirstDose,4860
2021-07-19,ALL,UNK,FirstDose,37785
2021-07-19,ALL,UNK,FirstDose,84079
2021-07-19,ALL,UNK,FirstDose,240699
2021-07-19,ALL,UNK,FirstDose,89115
2021-07-19,Age<18,UNK,FirstDose,445
2021-01-04,Age80+,UNK,FirstDose,0
2021-01-04,Age80+,UNK,FirstDose,0
2021-01-04,Age80+,UNK,FirstDose,17
2021-01-04,Age80+,UNK,FirstDose,33
2021-07-19,Age18_24,UNK,FirstDose,622
2021-07-19,Age18_24,UNK,FirstDose,75544
2021-07-19,Age18_24,UNK,FirstDose,18262
2021-07-19,Age18_24,UNK,FirstDose,18632
2021-07-19,Age18_24,UNK,FirstDose,36702
2021-07-19,Age25_49,UNK,FirstDose,16475
2021-07-19,Age25_49,UNK,FirstDose,37914
2021-07-19,Age25_49,UNK,FirstDose,112204
2021-07-19,Age25_49,UNK,FirstDose,40091
2023-06-19,Age25_49,UNK,FirstDose,1
